record_id,timestamp,src_ip,destination,dst_port,protocol,bytes_transferred,attack_type,has_error,error_type,requires_attention,triage_priority,label,{"record_id": "AEGIS-000001,timestamp": "2026-04-12T08:13:23,source_ip": "120.243.130.28,destination_ip": "10.224.198.195,source_port": 59790,destination_port": 445,protocol": "ICMP,bytes_transferred": 431245,event_type": "Normal Traffic,severity": "Critical,status": "Blocked,attack_type": "Normal Traffic,has_error": false,source": "Endpoint"}
,,,,,,,,,,,,,{record_id: AEGIS-000002,timestamp: 2026-11-18T18:42:44,source_ip: 56.99.71.100,destination_ip: 10.79.101.61,source_port: 48702,destination_port: 445,protocol: TCP,bytes_transferred: 462571,event_type: Brute Force,severity: Low,status: Detected,attack_type: Brute Force,has_error: true,source: Network Sensor}
,,,,,,,,,,,,,{record_id: AEGIS-000003,timestamp: 2026-02-18T16:14:35,source_ip: 27.247.204.104,destination_ip: 10.36.222.32,source_port: 4039,destination_port: 22,protocol: DNS,bytes_transferred: 210014,event_type: Normal Traffic,severity: High,status: Blocked,attack_type: Normal Traffic,has_error: false,source: Firewall}
,,,,,,,,,,,,,{record_id: AEGIS-000004,timestamp: 2026-01-19T00:53:06,source_ip: 56.24.80.228,destination_ip: 10.31.213.98,source_port: 43891,destination_port: 445,protocol: ICMP,bytes_transferred: 46461,event_type: Normal Traffic,severity: High,status: Allowed,attack_type: Normal Traffic,has_error: false,source: SCADA}
,,,,,,,,,,,,,{record_id: AEGIS-000005,timestamp: 2026-12-31T00:28:32,source_ip: 117.216.59.217,destination_ip: 10.22.214.42,source_port: 48312,destination_port: 22,protocol: HTTPS,bytes_transferred: 240217,event_type: Normal Traffic,severity: Medium,status: Detected,attack_type: Normal Traffic,has_error: false,source: Firewall}
,,,,,,,,,,,,,{record_id: AEGIS-000006,timestamp: 2026-01-27T22:19:32,source_ip: 145.16.153.81,destination_ip: 10.80.68.167,source_port: 53379,destination_port: 80,protocol: HTTPS,bytes_transferred: 262462,event_type: DDoS,severity: High,status: Allowed,attack_type: DDoS,has_error: true,source: SCADA}
,,,,,,,,,,,,,{record_id: AEGIS-000007,timestamp: 2026-03-06T22:55:52,source_ip: 16.220.222.132,destination_ip: 10.125.177.199,source_port: 38526,destination_port: 53,protocol: ICMP,bytes_transferred: 72263,event_type: Normal Traffic,severity: Low,status: Blocked,attack_type: Normal Traffic,has_error: false,source: Endpoint}
,,,,,,,,,,,,,{record_id: AEGIS-000008,timestamp: 2026-11-09T23:22:05,source_ip: 178.145.148.187,destination_ip: 10.217.198.103,source_port: 8509,destination_port: 53,protocol: ICMP,bytes_transferred: 59234,event_type: Normal Traffic,severity: High,status: Detected,attack_type: Normal Traffic,has_error: false,source: Network Sensor}
,,,,,,,,,,,,,{record_id: AEGIS-000009,timestamp: 2026-02-16T08:43:44,source_ip: 206.128.114.202,destination_ip: 10.2.9.219,source_port: 5858,destination_port: 53,protocol: DNS,bytes_transferred: 272691,event_type: Normal Traffic,severity: Critical,status: Blocked,attack_type: Normal Traffic,has_error: false,source: Firewall}
,,,,,,,,,,,,,{record_id: AEGIS-000010,timestamp: 2026-12-26T00:07:36,source_ip: 182.142.70.63,destination_ip: 10.233.10.69,source_port: 17479,destination_port: 445,protocol: DNS,bytes_transferred: 154716,event_type: Normal Traffic,severity: Low,status: Detected,attack_type: Normal Traffic,has_error: false,source: Endpoint}
,,,,,,,,,,,,,{record_id: AEGIS-000011,timestamp: 2026-06-10T17:03:58,source_ip: 93.122.213.191,destination_ip: 10.79.93.176,source_port: 59918,destination_port: 3389,protocol: HTTPS,bytes_transferred: 480355,event_type: Malware,severity: Low,status: Allowed,attack_type: Malware,has_error: true,source: Network Sensor}
,,,,,,,,,,,,,{record_id: AEGIS-000012,timestamp: 2026-02-22T13:33:34,source_ip: 55.160.140.95,destination_ip: 10.184.73.6,source_port: 15030,destination_port: 8080,protocol: ICMP,bytes_transferred: 229313,event_type: Malware,severity: Low,status: Allowed,attack_type: Malware,has_error: true,source: Firewall}
,,,,,,,,,,,,,{record_id: AEGIS-000013,timestamp: 2026-07-16T11:31:41,source_ip: 148.76.219.25,destination_ip: 10.198.186.182,source_port: 3085,destination_port: 3389,protocol: DNS,bytes_transferred: 395865,event_type: Port Scanning,severity: Low,status: Blocked,attack_type: Port Scanning,has_error: true,source: Firewall}
,,,,,,,,,,,,,{record_id: AEGIS-000014,timestamp: 2026-05-05T21:13:25,source_ip: 103.151.160.109,destination_ip: 10.246.50.152,source_port: 24619,destination_port: 22,protocol: TCP,bytes_transferred: 303459,event_type: Normal Traffic,severity: Critical,status: Allowed,attack_type: Normal Traffic,has_error: false,source: SCADA}
,,,,,,,,,,,,,{record_id: AEGIS-000015,timestamp: 2026-08-24T11:00:44,source_ip: 129.70.68.116,destination_ip: 10.199.181.117,source_port: 36319,destination_port: 3389,protocol: TCP,bytes_transferred: 326114,event_type: Port Scanning,severity: Critical,status: Allowed,attack_type: Port Scanning,has_error: true,source: Firewall}
,,,,,,,,,,,,,{record_id: AEGIS-000016,timestamp: 2026-10-29T15:37:13,source_ip: 135.177.139.96,destination_ip: 10.29.31.197,source_port: 50234,destination_port: 8080,protocol: TCP,bytes_transferred: 317962,event_type: Normal Traffic,severity: Critical,status: Detected,attack_type: Normal Traffic,has_error: false,source: SCADA}
,,,,,,,,,,,,,{record_id: AEGIS-000017,timestamp: 2026-06-14T14:18:39,source_ip: 67.167.120.106,destination_ip: 10.234.237.161,source_port: 52134,destination_port: 443,protocol: HTTPS,bytes_transferred: 411686,event_type: DDoS,severity: Medium,status: Detected,attack_type: DDoS,has_error: true,source: Endpoint}
,,,,,,,,,,,,,{record_id: AEGIS-000018,timestamp: 2026-06-23T13:25:50,source_ip: 127.189.243.172,destination_ip: 10.30.63.203,source_port: 49025,destination_port: 3389,protocol: HTTP,bytes_transferred: 190489,event_type: Normal Traffic,severity: Critical,status: Blocked,attack_type: Normal Traffic,has_error: false,source: SCADA}
,,,,,,,,,,,,,{record_id: AEGIS-000019,timestamp: 2026-05-14T23:53:48,source_ip: 215.208.23.150,destination_ip: 10.147.32.215,source_port: 46440,destination_port: 443,protocol: DNS,bytes_transferred: 43756,event_type: Normal Traffic,severity: High,status: Blocked,attack_type: Normal Traffic,has_error: false,source: Network Sensor}
,,,,,,,,,,,,,{record_id: AEGIS-000020,timestamp: 2026-05-10T00:38:24,source_ip: 176.194.28.126,destination_ip: 10.235.76.114,source_port: 18163,destination_port: 3389,protocol: ICMP,bytes_transferred: 473668,event_type: Normal Traffic,severity: Medium,status: Allowed,attack_type: Normal Traffic,has_error: false,source: Endpoint}
,,,,,,,,,,,,,{record_id: AEGIS-000021,timestamp: 2026-03-14T13:04:55,source_ip: 90.71.251.250,destination_ip: 10.70.184.229,source_port: 7160,destination_port: 22,protocol: TCP,bytes_transferred: 467084,event_type: Brute Force,severity: Critical,status: Allowed,attack_type: Brute Force,has_error: true,source: SCADA}
,,,,,,,,,,,,,{record_id: AEGIS-000022,timestamp: 2026-05-15T11:51:22,source_ip: 41.3.209.144,destination_ip: 10.202.42.127,source_port: 31828,destination_port: 445,protocol: TCP,bytes_transferred: 457293,event_type: Normal Traffic,severity: Medium,status: Blocked,attack_type: Normal Traffic,has_error: false,source: Network Sensor}
,,,,,,,,,,,,,{record_id: AEGIS-000023,timestamp: 2026-04-06T17:34:11,source_ip: 61.142.193.1,destination_ip: 10.70.133.122,source_port: 27393,destination_port: 80,protocol: HTTP,bytes_transferred: 151882,event_type: Normal Traffic,severity: Medium,status: Blocked,attack_type: Normal Traffic,has_error: false,source: Firewall}
,,,,,,,,,,,,,{record_id: AEGIS-000024,timestamp: 2026-05-04T19:08:08,source_ip: 73.227.107.220,destination_ip: 10.184.141.159,source_port: 21349,destination_port: 80,protocol: HTTP,bytes_transferred: 331623,event_type: Port Scanning,severity: High,status: Blocked,attack_type: Port Scanning,has_error: true,source: IDS}
,,,,,,,,,,,,,{record_id: AEGIS-000025,timestamp: 2026-05-07T14:28:47,source_ip: 121.67.204.156,destination_ip: 10.212.91.188,source_port: 27242,destination_port: 8080,protocol: UDP,bytes_transferred: 245886,event_type: Brute Force,severity: High,status: Allowed,attack_type: Brute Force,has_error: true,source: Endpoint}
,,,,,,,,,,,,,{record_id: AEGIS-000026,timestamp: 2026-05-12T03:24:46,source_ip: 96.197.133.158,destination_ip: 10.125.169.134,source_port: 29109,destination_port: 3389,protocol: TCP,bytes_transferred: 339263,event_type: Normal Traffic,severity: Critical,status: Allowed,attack_type: Normal Traffic,has_error: false,source: SCADA}
