record_id,src_ip,destination,dst_port,protocol,bytes_transferred,attack_type,has_error,error_type,requires_attention,triage_priority,label
AEGIS-LOG-11501,10.123.244.170,172.16.5.108,443,HTTP,4054,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-12586,10.143.64.21,172.16.5.101,80,HTTP,6561,Port-Scan,False,PACKET_TIMEOUT,False,LOW,1
AEGIS-LOG-12653,10.133.184.142,EN-SCADA-01,53,HTTP,11899,Suspicious-Login,True,HEADER_PARSE_WARNING,False,LOW,1
AEGIS-LOG-11055,10.48.237.170,172.16.5.101,443,HTTP,4896,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-10705,10.178.165.188,172.16.5.108,443,UDP,664,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-10106,10.135.41.41,10.0.1.10,80,TCP,1382,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-10589,10.36.116.234,172.16.5.101,8080,HTTPS,3795,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-12468,10.229.146.198,TR-OPS-14,8080,S7COMM,12476,Suspicious-Login,False,HEADER_PARSE_WARNING,False,LOW,1
AEGIS-LOG-12413,10.254.202.201,TR-OPS-14,443,S7COMM,4164,Port-Scan,False,HEADER_PARSE_WARNING,False,LOW,1
AEGIS-LOG-11600,10.253.9.221,172.16.5.108,8080,HTTPS,463,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-12464,10.220.177.179,HIST-SRV-01,8080,TCP,8056,Suspicious-Login,False,HEADER_PARSE_WARNING,False,LOW,1
AEGIS-LOG-10228,10.21.161.239,172.16.5.101,8080,HTTPS,2175,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-10915,10.175.167.125,172.16.5.108,8080,HTTP,4746,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-10794,10.154.110.135,172.16.5.101,80,TCP,3165,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-13021,10.110.164.193,TR-OPS-14,8080,HTTPS,31202,Suspicious-Login,True,CERTIFICATE_EXPIRED,True,MEDIUM,1
AEGIS-LOG-13543,10.90.196.242,172.16.5.101,4840,HTTP,27513,Port-Scan,True,CERTIFICATE_EXPIRED,True,MEDIUM,1
AEGIS-LOG-11073,10.173.239.34,172.16.5.101,8080,HTTPS,3051,Benign,False,NO_ERROR,False,NONE,0
