flow_id,src_ip,src_port,dst_ip,dst_port,protocol,bytes_sent,bytes_received,packets_sent,packets_received,duration_sec,is_internal_traffic,user_agent,url,attack_type,label
FLOW-100000,172.16.5.210,61578,192.168.10.15,502,UDP,398,11370,4,93,8.671,1,Edge/120.0,/api/v1/metrics,Benign,0
FLOW-100001,198.51.100.22,64667,10.0.1.25,1433,TCP,72,12,1,1,4.613,0,Masscan/1.3,/,Port-Scan,1
FLOW-100002,192.168.10.55,22391,192.168.10.55,443,UDP,1929,3912,16,39,2.686,1,Mozilla/5.0,,Benign,0
FLOW-100003,192.168.10.15,57311,192.168.10.40,502,UDP,3404,6714,49,60,9.319,1,Edge/120.0,,Benign,0
FLOW-100004,45.33.32.156,58161,10.0.1.5,1433,TCP,108,6,1,1,4.527,0,zgrab/0.x,/,Port-Scan,1
FLOW-100005,198.51.100.89,54723,192.168.10.15,443,TCP,2618,2681,33,24,8.577,0,Mozilla/5.0,/api/v1/telemetry?id=1' OR '1'='1,SQL-Injection,1
FLOW-100006,192.168.10.15,38319,192.168.10.40,102,TCP,2241,8862,15,69,8.559,1,SCADA-Client/3.2,/api/v1/metrics,Benign,0
FLOW-100007,203.0.113.45,5347,10.0.1.5,22,TCP,1394,652,9,8,8.588,0,Hydra/9.5,,Brute-Force,1
FLOW-100008,198.51.100.22,62164,192.168.10.40,3306,TCP,57,5,1,1,0.891,0,Masscan/1.3,/cgi-bin/test,Port-Scan,1
FLOW-100009,192.168.10.15,4792,192.168.10.12,443,TCP,2981,5866,37,63,5.853,1,Mozilla/5.0,/historian/view,Benign,0
FLOW-100010,45.33.32.156,35391,10.0.1.5,445,TCP,52,17,1,1,4.974,0,Masscan/1.3,/,Port-Scan,1
FLOW-100011,192.168.10.55,38339,192.168.10.40,80,TCP,1176,4976,9,36,6.715,1,OPC-UA-Stack/1.4,/api/v1/metrics,Benign,0
FLOW-100012,192.168.10.15,62430,10.0.1.5,443,TCP,1615,11622,14,82,0.726,1,SCADA-Client/3.2,,Benign,0
FLOW-100013,198.51.100.22,5369,192.168.10.15,443,TCP,3573,2186,47,20,0.346,0,sqlmap/1.7,/historian/query?sensor=A1;DROP TABLE,SQL-Injection,1
FLOW-100014,194.26.29.112,45373,10.0.1.10,8080,TCP,2244,1038,22,7,3.799,0,curl/8.4.0,/cgi-bin/test,Exploit-Attempt,1
FLOW-100015,192.168.10.12,58835,10.0.1.10,102,TCP,2063,5364,31,40,12.411,1,Mozilla/5.0,/api/v1/metrics,Benign,0
FLOW-100016,192.168.10.55,44715,192.168.10.12,80,TCP,2464,3849,17,57,0.215,1,Mozilla/5.0,,Benign,0
FLOW-100017,45.33.32.156,18990,192.168.10.40,3389,TCP,102,47,1,1,7.575,0,Nmap/7.94,/,Port-Scan,1
FLOW-100018,203.0.113.45,6668,192.168.10.40,3389,TCP,83,33,1,1,1.403,0,Nmap/7.94,/login,Port-Scan,1
FLOW-100019,172.16.5.101,24421,10.0.1.10,443,TCP,1151,3650,8,25,9.254,1,Edge/120.0,/api/v1/metrics,Benign,0
FLOW-100020,198.51.100.22,10002,192.168.10.12,21,TCP,106,60,1,1,11.687,0,Masscan/1.3,/,Port-Scan,1
FLOW-100021,192.168.10.15,60257,192.168.10.15,443,UDP,727,2297,6,16,7.155,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100022,172.16.5.102,27430,10.0.1.25,443,TCP,676,5222,6,54,2.978,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100023,192.168.10.40,37619,192.168.10.40,102,TCP,3463,10880,38,109,4.897,1,SCADA-Client/3.2,/dashboard/scada,Benign,0
FLOW-100024,172.16.5.210,16963,192.168.10.12,443,UDP,819,10302,7,84,11.575,1,Edge/120.0,,Benign,0
FLOW-100025,198.51.100.89,2807,192.168.10.55,445,TCP,1515,558,23,5,1.65,0,Custom-POC/1.0,/cgi-bin/test,Exploit-Attempt,1
FLOW-100026,192.168.10.15,52946,192.168.10.55,102,TCP,427,7926,5,55,0.312,1,SCADA-Client/3.2,/dashboard/scada,Benign,0
FLOW-100027,45.33.32.156,64631,192.168.10.55,21,TCP,45,22,1,1,1.612,0,Nmap/7.94,/login,Port-Scan,1
FLOW-100028,45.33.32.156,7857,192.168.10.55,23,TCP,96,17,1,1,3.593,0,zgrab/0.x,/login,Port-Scan,1
FLOW-100029,192.168.10.40,50692,10.0.1.10,443,UDP,1417,4287,21,33,1.386,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100030,194.26.29.112,50319,10.0.1.5,445,TCP,1235,840,16,7,11.8,0,paramiko/3.4,/cgi-bin/test,Brute-Force,1
FLOW-100031,198.51.100.22,9967,192.168.10.55,1433,TCP,2441,2029,33,15,0.812,0,python-requests/2.31.0,/historian/query?sensor=A1;DROP TABLE,SQL-Injection,1
FLOW-100032,192.168.10.55,54401,10.0.1.25,502,UDP,874,1753,7,21,11.4,1,Edge/120.0,,Benign,0
FLOW-100033,172.16.5.101,49599,10.0.1.25,4840,TCP,252,3289,1,43,7.052,1,SCADA-Client/3.2,/api/v1/metrics,Benign,0
FLOW-100034,198.51.100.89,38178,192.168.10.15,445,TCP,2780,387,23,5,7.595,0,Metasploit/6.3,/login,Exploit-Attempt,1
FLOW-100035,192.168.10.55,64622,192.168.10.12,502,TCP,775,3541,6,29,9.919,1,Edge/120.0,,Benign,0
FLOW-100036,198.51.100.22,53840,10.0.1.25,22,TCP,666,884,6,13,1.973,0,Hydra/9.5,/,Brute-Force,1
FLOW-100037,198.51.100.22,11465,192.168.10.40,1433,TCP,3463,8265,44,61,4.214,0,sqlmap/1.7,/historian/query?sensor=A1;DROP TABLE,SQL-Injection,1
FLOW-100038,192.168.10.40,15837,10.0.1.25,4840,TCP,1405,5182,9,66,8.937,1,OPC-UA-Stack/1.4,/api/v1/metrics,Benign,0
FLOW-100039,203.0.113.45,8117,192.168.10.12,445,TCP,813,416,6,4,1.61,0,paramiko/3.4,,Brute-Force,1
FLOW-100040,172.16.5.102,60047,192.168.10.12,102,TCP,1441,3374,21,22,7.711,1,Edge/120.0,,Benign,0
FLOW-100041,172.16.5.102,12627,192.168.10.40,443,TCP,3405,507,31,4,12.488,1,Edge/120.0,/dashboard/scada,Benign,0
FLOW-100042,185.220.101.5,53172,10.0.1.10,8080,TCP,59,14,1,1,5.837,0,zgrab/0.x,/login,Port-Scan,1
FLOW-100043,194.26.29.112,16486,192.168.10.40,21,TCP,956,270,9,1,11.457,0,paramiko/3.4,,Brute-Force,1
FLOW-100044,192.168.10.15,3606,192.168.10.12,80,TCP,1623,9860,24,140,9.912,1,SCADA-Client/3.2,/dashboard/scada,Benign,0
FLOW-100045,192.168.10.55,20675,192.168.10.12,443,TCP,3470,4064,45,32,6.458,1,Edge/120.0,/api/v1/metrics,Benign,0
FLOW-100046,198.51.100.89,57746,192.168.10.55,3389,TCP,58,22,1,1,8.385,0,Nmap/7.94,/login,Port-Scan,1
FLOW-100047,192.168.10.12,38335,10.0.1.25,502,TCP,1903,11503,28,182,3.891,1,Edge/120.0,,Benign,0
FLOW-100048,198.51.100.22,50916,10.0.1.10,445,TCP,49,43,1,1,3.453,0,zgrab/0.x,/,Port-Scan,1
FLOW-100049,192.168.10.15,49075,10.0.1.5,443,TCP,3078,1055,21,7,5.016,1,Mozilla/5.0,/historian/view,Benign,0
FLOW-100050,45.33.32.156,50744,10.0.1.25,22,TCP,88,24,1,1,1.396,0,zgrab/0.x,,Port-Scan,1
FLOW-100051,192.168.10.12,31797,192.168.10.15,80,UDP,1014,3027,8,37,1.421,1,Mozilla/5.0,/api/v1/metrics,Benign,0
FLOW-100052,172.16.5.108,39863,192.168.10.15,502,TCP,3268,6733,40,70,4.232,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100053,172.16.5.108,50289,10.0.1.5,443,TCP,367,3504,3,54,8.389,1,SCADA-Client/3.2,/dashboard/scada,Benign,0
