record_id,src_ip,destination,dst_port,protocol,bytes_transferred,attack_type,has_error,error_type,requires_attention,triage_priority,label
AEGIS-LOG-11766,10.113.32.157,172.16.5.101,8080,HTTPS,4976,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-21919,10.83.51.54,TR-OPS-14,4840,S7COMM,918296,Brute-Force,True,BUFFER_OVERFLOW_MEMORY_CORRUPTION,True,CRITICAL,1
AEGIS-LOG-18909,10.24.248.119,10.0.1.5,8080,TCP,46729,Port-Scan,True,CHECKSUM_MISMATCH,True,MEDIUM,1
AEGIS-LOG-14963,10.191.18.91,10.0.1.5,8080,UDP,4710,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-20099,10.15.61.115,EN-SCADA-01,4840,MODBUS/TCP,177208,Brute-Force,True,UNAUTHORIZED_PLC_STATE_OVERRIDE,True,HIGH,1
AEGIS-LOG-12754,10.62.146.14,172.16.5.101,80,UDP,1389,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-12858,10.20.175.99,172.16.5.108,443,HTTP,4254,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-15568,10.117.128.64,PL-PLC-09,8080,UDP,6959,Port-Scan,False,PACKET_TIMEOUT,False,LOW,1
AEGIS-LOG-21673,10.94.254.233,HIST-SRV-01,4840,S7COMM,205782,Exploit-Attempt,True,BUFFER_OVERFLOW_MEMORY_CORRUPTION,True,HIGH,1
AEGIS-LOG-15778,10.57.189.167,TR-OPS-14,443,TCP,10618,Suspicious-Login,False,HEADER_PARSE_WARNING,False,LOW,1
AEGIS-LOG-18282,10.205.71.145,EN-SCADA-01,4840,TCP,33975,Port-Scan,True,PACKET_TIMEOUT,True,MEDIUM,1
AEGIS-LOG-20474,10.23.176.200,HIST-SRV-01,22,HTTPS,97653,Brute-Force,True,UNAUTHORIZED_PLC_STATE_OVERRIDE,True,HIGH,1
AEGIS-LOG-17207,10.219.119.34,172.16.5.108,8080,TCP,3708,Suspicious-Login,False,PACKET_TIMEOUT,False,LOW,1
AEGIS-LOG-10247,10.37.64.249,172.16.5.101,53,HTTPS,3916,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-16271,10.215.140.124,10.0.1.10,22,HTTPS,11876,Port-Scan,True,NO_ERROR,False,LOW,1
AEGIS-LOG-13994,10.28.213.79,10.0.1.5,53,TCP,3535,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-10839,10.77.228.95,10.0.1.10,443,UDP,4072,Benign,False,NO_ERROR,False,NONE,0
AEGIS-LOG-20505,10.196.170.103,PL-PLC-09,22,S7COMM,224132,Exploit-Attempt,True,CHECKSUM_MISMATCH,True,HIGH,1
AEGIS-LOG-20551,10.133.76.99,PL-PLC-09,22,S7COMM,149453,Privilege-Escalation,True,CHECKSUM_MISMATCH,True,HIGH,1
AEGIS-LOG-15825,10.83.185.79,HIST-SRV-01,22,HTTPS,8854,Suspicious-Login,True,HEADER_PARSE_WARNING,False,LOW,1
AEGIS-LOG-15910,10.211.77.252,HIST-SRV-01,80,MODBUS/TCP,14584,Suspicious-Login,False,HEADER_PARSE_WARNING,False,LOW,1
AEGIS-LOG-15848,10.246.203.206,10.0.1.10,443,HTTP,4168,Suspicious-Login,True,HEADER_PARSE_WARNING,False,LOW,1
